"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"30" "0" "-68" "42" "7.3" "Jump Shot"
"30" "0" "-239" "97" "24.3" "Jump Shot"
"30" "0" "-164" "213" "28.2" "Jump Shot"
"30" "0" "31" "82" "11.5" "Jump Shot"
"39" "0" "-194" "142" "24.8" "Jump Shot"
"39" "0" "-56" "244" "25" "Jump Shot"
"39" "1" "-177" "165" "24.7" "Jump Shot"
"39" "1" "182" "219" "28" "Jump Shot"
"39" "0" "-131" "216" "26.3" "Jump Shot"
"39" "0" "215" "135" "25" "Jump Shot"
"39" "0" "89" "230" "25.3" "Jump Shot"
"39" "1" "-213" "137" "27.4" "Turnaround Jump Shot"
"40" "0" "-92" "14" "2.5" "Jump Shot"
"40" "0" "-177" "52" "28.9" "Jump Shot"
"40" "1" "147" "208" "25.4" "Jump Shot"
"40" "1" "17" "148" "16" "Jump Shot"
"40" "1" "102" "225" "4" "Jump Shot"
"40" "1" "110" "230" "20.2" "Jump Shot"
"40" "1" "77" "244" "26.8" "Jump Shot"
"40" "0" "179" "201" "25.8" "Jump Shot"
"40" "0" "108" "129" "11.5" "Jump Shot"
"40" "0" "-179" "72" "21.4" "Jump Shot"
"40" "0" "-5" "285" "28.2" "Jump Shot"
"40" "0" "144" "195" "25.2" "Jump Shot"
"40" "0" "-207" "138" "26.7" "Jump Shot"
"40" "0" "-95" "265" "10.3" "Jump Shot"
"40" "1" "-38" "23" "29.8" "Running Bank shot"
"40" "1" "-24" "44" "8" "Running Jump Shot"
"41" "0" "-232" "61" "23.5" "Jump Shot"
"41" "1" "-120" "235" "25.7" "Jump Shot"
"41" "1" "-221" "121" "24.6" "Jump Shot"
"41" "1" "1" "208" "21.5" "Jump Shot"
"41" "0" "127" "116" "19" "Jump Shot"
"41" "1" "176" "201" "26" "Jump Shot"
"41" "1" "100" "190" "21.7" "Jump Shot"
"41" "0" "-157" "213" "27.4" "Jump Shot"
"41" "0" "-32" "249" "25.3" "Jump Shot"
"41" "0" "203" "170" "25.4" "Jump Shot"
"41" "0" "-5" "195" "20.8" "Jump Shot"
"41" "0" "218" "129" "25.6" "Jump Shot"
"41" "0" "-108" "137" "18.2" "Jump Shot"
"41" "0" "-142" "131" "20.3" "Jump Shot"
"41" "1" "89" "44" "14.6" "Running Bank shot"
"41" "1" "-35" "1" "5.9" "Running Bank shot"
"42" "1" "-70" "63" "6.7" "Fadeaway Jump Shot"
"42" "1" "-123" "28" "13.9" "Fadeaway Jump Shot"
"42" "1" "-133" "50" "12.6" "Fadeaway Jump Shot"
"42" "0" "70" "56" "9.4" "Jump Bank Shot"
"42" "0" "-79" "235" "24.7" "Jump Shot"
"42" "1" "-142" "164" "23.7" "Jump Shot"
"42" "1" "-76" "135" "17.8" "Jump Shot"
"42" "0" "108" "25" "9.7" "Jump Shot"
"42" "1" "133" "-30" "10.1" "Jump Shot"
"42" "0" "135" "96" "21.4" "Jump Shot"
"42" "0" "176" "129" "22.9" "Jump Shot"
"42" "0" "147" "197" "25.1" "Jump Shot"
"42" "0" "-213" "142" "27" "Jump Shot"
"42" "1" "166" "99" "20.9" "Step Back Jump shot"
"42" "0" "102" "67" "14.9" "Step Back Jump shot"
"42" "0" "-134" "14" "15.8" "Turnaround Jump Shot"
"43" "1" "65" "31" "6" "Driving Hook Shot"
"43" "0" "-81" "39" "9.4" "Floating Jump shot"
"43" "0" "75" "53" "7.9" "Jump Bank Shot"
"43" "0" "217" "131" "25.2" "Jump Shot"
"43" "0" "223" "127" "22.1" "Jump Shot"
"43" "0" "-64" "189" "21.9" "Jump Shot"
"43" "0" "-95" "127" "17.2" "Jump Shot"
"43" "1" "29" "33" "8.7" "Running Bank shot"
"43" "1" "-15" "45" "7.3" "Running Jump Shot"
"43" "0" "-7" "56" "8.4" "Running Jump Shot"
"43" "0" "-171" "17" "16.6" "Step Back Jump shot"
"44" "1" "-30" "45" "6.2" "Floating Jump shot"
"44" "1" "225" "-5" "25" "Jump Shot"
"44" "0" "146" "77" "20.6" "Jump Shot"
"44" "0" "-45" "242" "25.5" "Jump Shot"
"44" "0" "-157" "205" "26.7" "Jump Shot"
"44" "1" "-112" "219" "25.2" "Jump Shot"
"44" "1" "-2" "50" "7" "Running Jump Shot"
"45" "0" "-10" "75" "9" "Fadeaway Jump Shot"
"45" "0" "89" "39" "9.6" "Jump Bank Shot"
"45" "1" "-169" "200" "24.7" "Jump Shot"
"45" "1" "-109" "236" "27.8" "Jump Shot"
"45" "0" "146" "261" "28.5" "Jump Shot"
"45" "0" "-229" "-10" "23.1" "Jump Shot"
"45" "0" "89" "187" "22.3" "Jump Shot"
"45" "0" "4" "94" "21.4" "Jump Shot"
"45" "0" "-164" "143" "23.7" "Jump Shot"
"45" "0" "-147" "0" "17" "Jump Shot"
"45" "0" "230" "14" "23.1" "Jump Shot"
"45" "0" "110" "235" "26.6" "Jump Shot"
"45" "1" "-194" "26" "20.5" "Jump Shot"
"45" "0" "-97" "37" "8.4" "Running Bank shot"
