"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"20" "0" "15" "241" "24.6" "Jump Shot"
"20" "1" "75" "181" "20" "Jump Shot"
"20" "0" "147" "189" "24" "Jump Shot"
"20" "0" "12" "247" "26.4" "Jump Shot"
"20" "0" "-71" "235" "25.3" "Jump Shot"
"20" "0" "127" "214" "26" "Jump Shot"
"20" "0" "24" "216" "23.2" "Jump Shot"
"20" "0" "1" "252" "25.7" "Jump Shot"
"20" "1" "-97" "138" "13.8" "Step Back Jump shot"
"21" "1" "-175" "25" "14" "Fadeaway Jump Shot"
"21" "0" "-160" "168" "24.2" "Jump Shot"
"21" "0" "125" "236" "28.8" "Jump Shot"
"21" "1" "-52" "268" "27.9" "Pullup Jump shot"
"21" "1" "-40" "279" "27.3" "Pullup Jump shot"
"21" "1" "-234" "19" "22.4" "Pullup Jump shot"
"21" "0" "-196" "203" "27.3" "Pullup Jump shot"
"21" "1" "-87" "50" "9.8" "Running Bank shot"
"21" "0" "20" "172" "19.1" "Step Back Jump shot"
"21" "1" "-38" "53" "5.9" "Turnaround Bank shot"
"21" "0" "-111" "151" "19" "Turnaround Jump Shot"
"22" "1" "0" "14" "5.2" "Driving Bank shot"
"22" "1" "50" "12" "6" "Driving Bank shot"
"22" "1" "-56" "52" "8.1" "Driving Jump shot"
"22" "1" "26" "127" "11.5" "Jump Shot"
"22" "1" "203" "209" "29.5" "Jump Shot"
"22" "1" "226" "23" "21.5" "Jump Shot"
"22" "0" "-168" "192" "24.4" "Jump Shot"
"22" "0" "-232" "3" "23" "Jump Shot"
"22" "0" "193" "140" "24.4" "Jump Shot"
"22" "0" "-4" "244" "25.3" "Jump Shot"
"22" "0" "-210" "42" "21.4" "Jump Shot"
"22" "0" "108" "230" "25.5" "Jump Shot"
"22" "0" "-149" "208" "26.4" "Jump Shot"
"22" "0" "168" "181" "26.1" "Jump Shot"
"22" "0" "-105" "159" "19.1" "Pullup Jump shot"
"22" "0" "-149" "197" "25.8" "Pullup Jump shot"
"22" "0" "100" "26" "8.6" "Running Jump Shot"
"22" "0" "65" "37" "7.3" "Running Jump Shot"
"22" "1" "204" "137" "24.9" "Step Back Jump shot"
"22" "0" "-67" "159" "17.7" "Turnaround Jump Shot"
"23" "1" "-155" "198" "25.9" "Jump Shot"
"23" "1" "146" "200" "25.7" "Jump Shot"
"23" "1" "32" "257" "24.9" "Jump Shot"
"23" "1" "-75" "205" "23.9" "Jump Shot"
"23" "0" "-27" "183" "19.6" "Jump Shot"
"23" "1" "-84" "241" "25.9" "Jump Shot"
"23" "0" "-89" "7" "6.9" "Jump Shot"
"23" "1" "47" "36" "25" "Jump Shot"
"23" "1" "88" "242" "24.9" "Jump Shot"
"23" "1" "-163" "206" "6.7" "Jump Shot"
"23" "0" "171" "183" "24" "Jump Shot"
"23" "0" "-68" "189" "20" "Jump Shot"
"23" "0" "106" "225" "26.6" "Jump Shot"
"23" "0" "-7" "271" "28.5" "Jump Shot"
"23" "0" "24" "37" "7.7" "Jump Shot"
"23" "0" "-32" "257" "25.1" "Jump Shot"
"23" "1" "83" "143" "17.8" "Pullup Jump shot"
"24" "1" "-122" "75" "14.8" "Jump Bank Shot"
"24" "1" "-89" "242" "27" "Jump Shot"
"24" "0" "-128" "217" "29.4" "Jump Shot"
"24" "0" "-207" "-14" "22" "Jump Shot"
"24" "0" "64" "246" "24.4" "Jump Shot"
"24" "0" "77" "285" "29.9" "Jump Shot"
"24" "0" "218" "138" "26" "Jump Shot"
"24" "0" "-78" "246" "25.8" "Jump Shot"
"24" "0" "220" "124" "23.5" "Jump Shot"
"24" "0" "-183" "159" "25" "Jump Shot"
"24" "0" "113" "233" "25.7" "Jump Shot"
"24" "1" "-150" "138" "18.6" "Pullup Jump shot"
"24" "0" "151" "91" "18.4" "Pullup Jump shot"
"24" "1" "26" "108" "14.4" "Running Jump Shot"
"24" "0" "-119" "227" "27.2" "Step Back Jump shot"
"24" "0" "203" "41" "21" "Step Back Jump shot"
"25" "0" "-133" "134" "19.3" "Jump Shot"
"25" "0" "195" "201" "27.4" "Jump Shot"
"25" "0" "0" "126" "16.9" "Jump Shot"
"25" "0" "62" "41" "8.5" "Jump Shot"
"25" "0" "174" "195" "25.7" "Jump Shot"
"25" "1" "-205" "189" "27.2" "Pullup Jump shot"
"25" "1" "204" "181" "24.5" "Pullup Jump shot"
"25" "1" "-172" "213" "26.3" "Pullup Jump shot"
"25" "1" "64" "238" "24.5" "Pullup Jump shot"
"25" "0" "-40" "279" "26.2" "Pullup Jump shot"
"25" "0" "-41" "288" "29.3" "Pullup Jump shot"
"25" "0" "-70" "244" "24.3" "Pullup Jump shot"
"25" "0" "-228" "25" "22.9" "Pullup Jump shot"
"25" "1" "43" "153" "16" "Pullup Jump shot"
"25" "1" "-7" "149" "15.2" "Pullup Jump shot"
"25" "1" "-89" "58" "6.2" "Running Jump Shot"
"25" "1" "163" "197" "24.1" "Step Back Jump shot"
"25" "0" "-89" "246" "24.2" "Turnaround Jump Shot"
"26" "1" "-70" "105" "12.5" "Floating Jump shot"
"26" "0" "95" "52" "6.1" "Jump Shot"
"26" "0" "-231" "4" "21.3" "Jump Shot"
"26" "0" "212" "154" "24" "Pullup Jump shot"
"26" "0" "-168" "242" "26.6" "Pullup Jump shot"
"26" "0" "-123" "143" "19.9" "Pullup Jump shot"
"26" "0" "-123" "255" "24.3" "Pullup Jump shot"
"26" "1" "-127" "255" "27.2" "Pullup Jump shot"
"26" "1" "-60" "45" "6.7" "Running Bank shot"
"27" "1" "1" "107" "12.5" "Floating Jump shot"
"27" "1" "-81" "170" "18.6" "Jump Shot"
"27" "1" "-4" "257" "25.4" "Jump Shot"
"27" "0" "103" "235" "26.3" "Jump Shot"
"27" "0" "-136" "246" "28.7" "Jump Shot"
"27" "0" "-101" "72" "11.9" "Jump Shot"
"27" "0" "111" "231" "26.3" "Jump Shot"
"27" "1" "83" "138" "17.5" "Pullup Jump shot"
"27" "1" "99" "134" "19" "Pullup Jump shot"
"27" "1" "-30" "17" "6.7" "Running Bank shot"
"27" "1" "43" "4" "6.1" "Running Hook Shot"
"27" "1" "-117" "224" "24" "Step Back Jump shot"
"28" "1" "-174" "119" "23.1" "Jump Shot"
"28" "1" "152" "222" "23.7" "Jump Shot"
"28" "0" "-16" "154" "16.5" "Jump Shot"
"28" "0" "141" "213" "25.7" "Jump Shot"
"28" "0" "-122" "228" "24.7" "Jump Shot"
"28" "0" "-175" "181" "26.2" "Jump Shot"
"28" "0" "163" "201" "24.8" "Jump Shot"
"28" "0" "-155" "162" "22.1" "Jump Shot"
"28" "1" "-103" "173" "20.6" "Pullup Jump shot"
"28" "1" "1" "165" "16.8" "Pullup Jump shot"
"29" "0" "24" "159" "17" "Jump Shot"
"29" "0" "207" "165" "24.6" "Jump Shot"
"29" "0" "77" "252" "24.7" "Pullup Jump shot"
"29" "0" "-112" "236" "24.8" "Pullup Jump shot"
"29" "1" "236" "53" "23.4" "Pullup Jump shot"
"29" "1" "-117" "186" "24.2" "Pullup Jump shot"
"29" "1" "230" "-14" "22.8" "Pullup Jump shot"
"29" "0" "191" "418" "42.5" "Pullup Jump shot"
"29" "1" "-191" "184" "23.9" "Pullup Jump shot"
"29" "1" "218" "129" "22.4" "Pullup Jump shot"
"29" "0" "-4" "260" "25.1" "Pullup Jump shot"
"29" "0" "111" "146" "16.6" "Pullup Jump shot"
"29" "1" "-123" "129" "16.6" "Step Back Jump shot"
"30" "0" "-201" "190" "24.9" "Jump Shot"
"30" "1" "-86" "247" "24.7" "Pullup Jump shot"
"30" "0" "0" "265" "27.7" "Pullup Jump shot"
"30" "1" "-157" "216" "24.4" "Pullup Jump shot"
"30" "0" "-213" "148" "24.7" "Pullup Jump shot"
"30" "1" "124" "132" "21" "Step Back Jump shot"
"30" "1" "-201" "190" "24.6" "Step Back Jump shot"
"31" "0" "-34" "272" "25.4" "Jump Shot"
"31" "0" "230" "107" "23.4" "Jump Shot"
"31" "0" "124" "225" "25.2" "Jump Shot"
"31" "0" "-152" "233" "26.1" "Jump Shot"
"31" "0" "-13" "261" "25" "Pullup Jump shot"
"31" "1" "176" "211" "28.7" "Pullup Jump shot"
"31" "1" "181" "225" "26.4" "Pullup Jump shot"
"31" "1" "168" "200" "24.3" "Pullup Jump shot"
"31" "0" "-120" "274" "27.5" "Pullup Jump shot"
"31" "1" "-175" "209" "23.8" "Pullup Jump shot"
"31" "0" "-130" "55" "15.4" "Running Bank shot"
"31" "1" "-234" "37" "24.9" "Step Back Jump shot"
"32" "1" "-95" "30" "7" "Floating Jump shot"
