Game Shots Missmade Xdist Ydist Dist Quarter
27 1 1 25 91 22 1
27 2 0 78 464 37 4
27 3 1 162 186 16 1
27 4 1 169 202 17 1
27 5 1 173 228 19 4
27 6 1 182 228 18 4
27 7 0 201 173 14 4
27 8 0 214 266 19 4
27 9 1 220 237 17 2
27 10 0 278 165 9 3
27 11 0 273 266 17 3
27 12 0 288 149 6 4
27 13 0 302 303 20 3
27 14 0 316 300 20 1
27 15 0 359 158 8 3
27 16 0 397 246 18 4
27 17 0 396 264 19 2
27 18 0 412 228 17 3
27 19 0 537 89 19 1
27 20 1 544 85 20 1
27 21 1 547 136 20 4
27 22 0 285 72 0 1
27 23 1 290 76 0 1
27 24 1 295 78 0 3
27 25 0 300 80 0 4
27 26 0 305 78 0 2
27 27 0 310 76 0 2
27 28 1 315 72 0 4
28 1 1 116 306 27 1
28 2 0 396 240 17 1
28 3 0 414 80 11 1
28 4 0 421 205 15 2
28 5 0 446 316 24 3
28 6 0 457 196 17 3
28 7 0 491 81 16 2
28 8 0 503 94 17 1
28 9 0 295 75 0 1
28 10 1 305 75 0 2
29 1 0 75 62 18 3
29 2 0 74 74 18 3
29 3 0 93 87 17 4
29 4 1 102 106 16 2
29 5 1 92 160 18 3
29 6 0 130 92 14 3
29 7 1 153 48 15 1
29 8 1 162 78 14 1
29 9 0 153 178 17 4
29 10 0 160 178 16 4
29 11 1 160 192 16 2
29 12 1 178 192 15 1
29 13 0 207 192 13 2
29 14 0 213 67 7 1
29 15 1 228 240 17 2
29 16 1 286 201 11 1
29 17 1 282 220 14 1
29 18 0 279 264 17 4
29 19 1 300 220 14 3
29 20 0 449 77 14 2
29 21 1 485 106 17 2
29 22 1 488 138 17 1
29 23 0 490 149 18 1
29 24 0 505 125 19 1
29 25 0 503 137 18 1
29 26 0 529 252 24 3
29 27 0 573 46 22 3
29 28 1 284 71 0 1
29 29 0 287 73 0 2
29 30 1 290 75 0 3
29 31 1 293 77 0 4
29 32 1 296 79 0 1
29 33 1 299 81 0 2
29 34 1 302 79 0 3
29 35 0 305 77 0 4
29 36 1 308 75 0 1
29 37 1 311 73 0 3
29 38 1 314 71 0 4
3 1 1 130 81 13 3
3 2 0 131 190 17 1
3 3 0 188 96 9 1
3 4 0 182 152 11 2
3 5 0 201 230 16 4
3 6 0 258 259 16 3
3 7 1 264 306 22 1
3 8 0 292 212 13 4
3 9 1 292 247 16 4
3 10 0 299 96 3 1
3 11 0 302 230 15 2
3 12 1 316 70 0 1
3 13 1 435 42 13 3
3 14 0 436 55 13 4
3 15 1 447 36 14 2
3 16 1 448 133 15 1
3 17 0 461 46 15 3
3 18 0 494 45 16 1
3 19 0 484 86 16 2
3 20 0 492 98 16 1
3 21 0 494 121 17 1
30 1 0 81 263 26 1
30 2 0 110 127 17 2
30 3 1 114 159 18 1
30 4 0 123 80 15 1
30 5 0 122 164 17 3
30 6 1 122 185 18 3
30 7 1 138 216 19 2
30 8 0 159 88 12 1
30 9 1 156 151 13 2
30 10 1 153 216 18 1
30 11 0 206 160 13 3
30 12 0 247 159 10 1
30 13 1 326 363 26 1
30 14 0 348 151 9 3
30 15 0 354 222 14 2
30 16 1 354 225 15 2
30 17 0 354 249 17 2
30 18 0 380 226 16 3
30 19 1 391 243 19 1
30 20 1 378 262 20 2
30 21 0 420 217 17 1
30 22 0 435 227 18 4
30 23 0 458 156 15 2
30 24 1 468 126 15 3
30 25 0 522 70 19 3
30 26 0 528 252 25 4
30 27 1 288 73 0 3
30 28 1 293 76 0 3
30 29 1 298 79 0 2
30 30 1 303 79 0 3
30 31 1 308 76 0 2
30 32 1 313 73 0 3
31 1 1 62 105 18 2
31 2 0 80 252 25 3
31 3 1 101 209 18 3
31 4 0 158 165 14 2
31 5 0 195 157 12 4
31 6 0 193 192 14 1
31 7 1 274 302 21 2
31 8 1 284 150 7 2
31 9 0 287 195 11 4
31 10 0 285 234 15 4
31 11 0 386 78 9 4
31 12 0 409 74 11 3
31 13 0 413 108 13 3
31 14 1 417 212 16 2
31 15 0 496 62 17 2
31 16 0 496 169 19 1
31 17 0 544 240 26 1
31 18 1 293 74 0 2
31 19 1 300 78 0 1
31 20 0 307 73 0 3
32 1 0 53 148 20 3
32 2 0 82 200 20 1
32 3 0 95 59 16 1
32 4 1 96 73 16 2
32 5 1 117 202 18 1
32 6 0 158 166 15 3
32 7 0 180 66 10 4
32 8 1 179 196 15 2
32 9 1 179 196 15 2
32 10 0 199 68 9 3
32 11 0 195 114 10 4
32 12 0 216 68 7 4
32 13 0 215 165 11 2
32 14 0 232 91 5 1
32 15 0 288 150 7 1
32 16 0 346 163 9 4
32 17 0 374 210 14 1
32 18 1 380 213 14 3
32 19 1 384 214 15 2
32 20 1 422 213 17 4
32 21 0 436 221 18 1
32 22 0 442 46 13 1
32 23 1 295 76 0 2
32 24 1 305 76 0 4
33 1 0 134 120 16 3
33 2 0 134 176 16 3
33 3 1 150 77 14 2
33 4 0 170 200 16 1
33 5 1 172 222 18 1
33 6 0 172 226 18 2
33 7 0 187 213 16 1
33 8 0 183 77 12 3
33 9 1 207 157 12 4
33 10 0 212 232 17 3
33 11 0 222 232 16 3
33 12 1 290 280 17 3
33 13 1 310 290 17 3
33 14 1 393 280 19 2
33 15 0 396 152 10 3
33 16 0 451 82 11 3
33 17 1 450 174 14 2
33 18 0 480 140 15 3
33 19 0 520 77 16 2
33 20 1 300 79 0 3
34 1 1 60 110 18 2
34 2 1 90 70 16 4
34 3 0 87 93 16 4
34 4 0 117 176 17 1
34 5 1 122 185 16 1
34 6 0 136 214 18 1
34 7 0 152 78 13 1
34 8 0 182 212 16 4
34 9 0 214 194 13 2
34 10 0 236 105 6 4
34 11 0 260 99 3 4
34 12 0 270 80 3 1
34 13 0 275 121 6 4
34 14 0 333 58 3 3
34 15 0 358 68 5 1
34 16 0 400 210 16 3
34 17 0 424 117 13 4
34 18 0 427 172 15 2
34 19 1 472 152 17 4
34 20 1 480 221 20 2
34 21 1 506 132 18 3
34 22 1 518 40 18 1
34 23 1 288 70 0 2
34 24 1 292 72 0 1
34 25 1 296 74 0 2
34 26 1 300 76 0 4
34 27 0 300 76 0 3
34 28 1 304 74 0 2
34 29 1 308 72 0 1
34 30 1 312 70 0 2
35 1 0 102 56 16 3
35 2 0 103 78 16 4
35 3 0 120 126 15 1
35 4 0 126 51 14 1
35 5 0 127 63 14 3
35 6 0 144 96 14 2
35 7 0 168 158 14 4
35 8 1 176 239 19 2
35 9 0 214 220 15 1
35 10 0 220 200 13 3
35 11 0 222 174 12 2
35 12 0 255 106 4 1
35 13 0 286 237 16 4
35 14 1 354 193 12 2
35 15 0 411 104 12 1
35 16 0 414 47 11 1
35 17 0 419 226 18 2
35 18 1 288 73 0 3
35 19 0 296 75 0 3
35 20 1 304 75 0 4
35 21 1 312 73 0 3
36 1 0 172 212 17 1
36 2 1 192 236 18 1
36 3 0 313 111 4 1
36 4 1 362 170 9 1
36 5 1 414 291 20 1
36 6 0 437 270 20 1
36 7 0 448 224 18 1
36 8 0 461 67 14 1
36 9 0 462 158 15 1
36 10 0 492 84 16 1
36 11 0 288 72 0 2
36 12 0 296 74 0 1
36 13 1 304 74 0 1
36 14 0 312 72 0 2
37 1 1 204 164 12 1
37 2 0 208 239 17 4
37 3 0 222 116 9 3
37 4 0 241 124 8 3
37 5 1 249 190 11 3
37 6 0 286 236 15 3
37 7 0 340 179 10 4
37 8 0 339 360 24 4
37 9 1 354 257 16 1
37 10 0 358 296 19 4
37 11 1 387 215 14 3
37 12 0 398 143 9 3
37 13 0 395 160 11 3
37 14 0 396 248 18 4
37 15 0 409 126 9 3
37 16 0 460 207 17 3
37 17 1 492 148 16 3
37 18 0 288 74 0 1
37 19 1 296 76 0 4
37 20 1 304 76 0 3
37 21 0 312 74 0 4
38 1 0 133 192 18 1
38 2 1 144 142 16 2
38 3 0 144 168 16 3
38 4 0 144 177 16 3
38 5 0 152 203 17 2
38 6 0 157 173 15 4
38 7 1 162 188 15 2
38 8 1 162 188 15 2
38 9 0 162 226 18 1
38 10 1 168 217 17 2
38 11 1 176 158 13 1
38 12 0 180 170 14 4
38 13 1 186 181 14 3
38 14 0 188 348 25 4
38 15 0 220 228 15 1
38 16 1 220 257 18 1
38 17 1 228 153 9 1
38 18 0 238 138 8 4
38 19 0 261 151 7 4
38 20 0 264 352 23 4
38 21 1 367 371 26 4
38 22 0 386 82 7 1
38 23 0 409 336 23 4
38 24 0 429 133 11 4
38 25 1 439 146 12 1
38 26 1 474 156 14 2
38 27 1 555 143 22 2
38 28 0 288 72 0 2
38 29 0 292 73 0 4
38 30 0 296 74 0 2
38 31 0 300 75 0 3
38 32 1 304 74 0 2
38 33 0 308 73 0 4
38 34 0 312 72 0 4
39 1 0 49 82 19 2
39 2 0 148 172 16 3
39 3 1 219 200 13 1
39 4 0 222 194 13 1
39 5 0 241 101 5 3
39 6 1 254 272 17 1
39 7 0 285 156 8 3
39 8 0 281 189 11 3
39 9 0 300 290 18 3
39 10 0 360 78 7 4
39 11 0 376 74 8 1
39 12 0 443 352 27 4
39 13 0 458 84 16 1
39 14 1 474 30 16 1
39 15 0 476 75 16 1
39 16 1 485 112 18 1
39 17 1 484 132 18 1
39 18 1 533 253 24 2
39 19 1 288 71 0 2
39 20 1 291 72 0 1
39 21 1 294 73 0 1
39 22 1 297 74 0 2
39 23 1 300 75 0 4
39 24 0 303 74 0 1
39 25 1 306 73 0 2
39 26 1 309 72 0 1
39 27 1 312 71 0 1
4 1 0 107 156 17 2
4 2 1 126 156 16 3
4 3 1 169 181 14 2
4 4 0 171 154 13 1
4 5 0 173 202 16 1
4 6 0 191 228 17 2
4 7 0 216 221 16 3
4 8 1 258 272 18 2
4 9 0 285 72 0 3
4 10 1 285 72 0 2
4 11 1 204 133 12 2
4 12 1 322 218 14 2
4 13 0 490 114 15 2
4 14 0 496 106 15 2
4 15 1 507 122 16 1
4 16 1 524 79 18 2
4 17 0 520 105 16 3
4 18 0 526 142 19 1
40 1 1 102 100 16 3
40 2 1 95 146 17 1
40 3 1 93 156 18 1
40 4 1 112 100 16 3
40 5 0 117 168 17 3
40 6 1 182 168 13 1
40 7 0 166 472 35 2
40 8 0 226 80 6 1
40 9 0 250 272 17 4
40 10 0 279 204 11 4
40 11 1 283 242 16 3
40 12 0 297 166 9 1
40 13 1 352 56 4 3
40 14 0 395 110 11 4
40 15 1 414 162 14 2
40 16 0 425 158 14 2
40 17 0 422 201 16 3
40 18 0 507 70 17 4
40 19 1 442 135 14 3
40 20 1 289 72 0 1
40 21 1 292 73 0 2
40 22 1 295 74 0 1
40 23 1 298 75 0 4
40 24 1 301 75 0 1
40 25 0 304 75 0 1
40 26 1 307 74 0 4
40 27 1 310 73 0 1
40 28 1 313 72 0 1
40 29 1 316 71 0 2
40 30 0 286 71 0 3
41 1 1 83 64 17 4
41 2 0 93 82 15 4
41 3 0 117 146 16 1
41 4 0 146 130 13 1
41 5 0 217 106 8 2
41 6 0 217 106 8 2
41 7 1 210 189 14 4
41 8 1 258 66 3 2
41 9 0 258 128 5 3
41 10 0 285 295 19 1
41 11 0 324 88 3 1
41 12 1 347 174 10 3
41 13 1 378 256 19 4
41 14 0 392 117 11 4
41 15 0 390 144 12 1
41 16 0 443 60 14 4
41 17 0 452 202 18 3
41 18 1 474 170 17 3
41 19 0 474 176 18 3
41 20 1 286 71 0 1
41 21 1 289 72 0 2
41 22 1 292 73 0 4
41 23 1 295 74 0 2
41 24 1 298 75 0 4
41 25 1 301 75 0 3
41 26 1 304 75 0 1
41 27 1 307 74 0 2
41 28 1 310 73 0 4
41 29 1 313 72 0 3
41 20 1 316 71 0 2
42 1 1 85 54 19 4
42 2 0 85 54 19 4
42 3 0 127 105 14 2
42 4 0 127 182 17 1
42 5 0 158 104 12 3
